user_id,signup_date,ab_group,channel,platform,region,age_group
100001,2026-01-09,test,referral,web,Moscow,25-34
100002,2026-03-11,test,organic,web,Other Russia,25-34
100003,2026-02-28,control,paid_search,web,Other Russia,25-34
100004,2026-02-09,test,organic,android,Other Russia,25-34
100005,2026-02-08,control,organic,ios,Other Russia,18-24
100006,2026-03-19,test,social_ads,web,Moscow,18-24
100007,2026-01-08,test,organic,web,Moscow,18-24
100008,2026-03-04,control,paid_search,android,Other Russia,25-34
100009,2026-01-19,control,social_ads,ios,Saint Petersburg,25-34
100010,2026-01-09,test,organic,ios,Other Russia,35-44
100011,2026-02-17,control,paid_search,web,Saint Petersburg,25-34
100012,2026-03-29,test,social_ads,web,Other Russia,18-24
100013,2026-03-08,test,referral,android,Other Russia,25-34
100014,2026-03-10,test,organic,android,Moscow,25-34
100015,2026-03-06,control,email,ios,Other Russia,35-44
100016,2026-03-12,test,referral,android,Moscow,25-34
100017,2026-02-16,test,social_ads,web,Moscow,45+
100018,2026-01-12,control,paid_search,android,Other Russia,35-44
100019,2026-03-17,control,social_ads,web,Moscow,35-44
100020,2026-02-10,control,referral,web,Moscow,25-34
100021,2026-02-15,control,organic,android,Other Russia,25-34
100022,2026-02-03,test,email,android,Other Russia,45+
100023,2026-01-17,control,email,android,Moscow,35-44
100024,2026-03-25,test,paid_search,ios,Other Russia,35-44
100025,2026-03-12,control,social_ads,android,Saint Petersburg,35-44
100026,2026-02-27,control,paid_search,android,Moscow,45+
100027,2026-02-06,control,social_ads,web,Other Russia,35-44
100028,2026-03-16,test,referral,ios,Saint Petersburg,18-24
100029,2026-02-19,test,organic,ios,Other Russia,25-34
100030,2026-02-09,control,organic,ios,Other Russia,25-34
100031,2026-02-10,test,organic,android,Other Russia,35-44
100032,2026-01-21,control,email,ios,Other Russia,25-34
100033,2026-01-09,control,paid_search,web,Moscow,25-34
100034,2026-02-19,control,referral,web,Other Russia,45+
100035,2026-03-21,test,paid_search,android,Other Russia,25-34
100036,2026-01-06,test,organic,web,Moscow,18-24
100037,2026-03-19,test,email,android,Saint Petersburg,35-44
100038,2026-03-16,control,paid_search,web,Other Russia,25-34
100039,2026-01-25,control,paid_search,web,Moscow,18-24
100040,2026-02-26,test,organic,android,Moscow,25-34
100041,2026-01-15,control,organic,web,Saint Petersburg,45+
100042,2026-03-10,test,organic,android,Moscow,25-34
100043,2026-03-05,test,paid_search,web,Other Russia,25-34
100044,2026-02-01,control,social_ads,ios,Moscow,25-34
100045,2026-01-07,test,organic,ios,Other Russia,25-34
100046,2026-03-29,test,organic,android,Other Russia,25-34
100047,2026-02-10,control,organic,web,Moscow,25-34
100048,2026-03-22,test,paid_search,web,Saint Petersburg,35-44
100049,2026-03-03,test,email,ios,Moscow,45+
100050,2026-03-12,control,paid_search,android,Moscow,25-34
100051,2026-03-10,test,organic,android,Saint Petersburg,25-34
100052,2026-01-18,control,paid_search,android,Moscow,35-44
100053,2026-02-02,test,email,ios,Other Russia,18-24
100054,2026-02-12,test,referral,ios,Saint Petersburg,35-44
100055,2026-02-14,test,referral,android,Moscow,25-34
100056,2026-01-04,control,email,android,Moscow,18-24
100057,2026-02-19,test,social_ads,android,Other Russia,18-24
100058,2026-01-14,control,email,android,Moscow,18-24
100059,2026-03-08,control,organic,android,Other Russia,35-44
100060,2026-03-03,control,referral,web,Moscow,25-34
100061,2026-03-25,test,referral,web,Other Russia,35-44
100062,2026-03-09,control,email,android,Moscow,35-44
100063,2026-02-02,control,paid_search,ios,Saint Petersburg,25-34
100064,2026-03-29,test,referral,web,Saint Petersburg,45+
100065,2026-02-06,control,organic,ios,Moscow,35-44
100066,2026-01-30,control,social_ads,ios,Other Russia,25-34
100067,2026-03-23,control,paid_search,android,Moscow,35-44
100068,2026-02-03,control,social_ads,android,Moscow,35-44
100069,2026-01-07,test,social_ads,web,Moscow,25-34
100070,2026-02-12,control,paid_search,ios,Other Russia,18-24
100071,2026-03-13,control,organic,web,Other Russia,25-34
100072,2026-01-18,test,organic,android,Moscow,45+
100073,2026-02-11,test,social_ads,web,Other Russia,35-44
100074,2026-01-12,test,social_ads,ios,Other Russia,35-44
100075,2026-03-03,test,social_ads,ios,Moscow,45+
100076,2026-02-12,test,organic,ios,Moscow,18-24
100077,2026-01-30,control,referral,ios,Moscow,45+
100078,2026-01-21,test,social_ads,android,Moscow,25-34
100079,2026-02-20,test,organic,ios,Other Russia,35-44
100080,2026-03-02,control,organic,web,Saint Petersburg,25-34
100081,2026-03-26,control,paid_search,web,Moscow,25-34
100082,2026-02-09,control,paid_search,ios,Other Russia,25-34
100083,2026-01-15,test,organic,web,Moscow,25-34
100084,2026-03-16,test,organic,android,Other Russia,18-24
100085,2026-02-26,test,organic,web,Other Russia,25-34
100086,2026-03-05,control,organic,android,Moscow,25-34
100087,2026-01-09,control,organic,web,Saint Petersburg,35-44
100088,2026-01-29,control,referral,android,Moscow,18-24
100089,2026-03-11,test,paid_search,web,Other Russia,18-24
100090,2026-03-16,test,paid_search,ios,Moscow,25-34
100091,2026-02-09,test,social_ads,web,Other Russia,35-44
100092,2026-03-14,test,paid_search,ios,Other Russia,25-34
100093,2026-03-17,test,organic,web,Saint Petersburg,45+
100094,2026-02-04,test,organic,android,Other Russia,18-24
100095,2026-03-22,control,organic,ios,Saint Petersburg,25-34
100096,2026-01-26,control,social_ads,android,Moscow,45+
100097,2026-01-22,control,paid_search,android,Other Russia,25-34
100098,2026-03-03,control,paid_search,ios,Saint Petersburg,25-34
100099,2026-02-27,control,paid_search,android,Other Russia,45+
100100,2026-01-13,control,email,web,Other Russia,25-34
100101,2026-03-16,test,organic,ios,Moscow,18-24
100102,2026-01-18,control,paid_search,web,Moscow,18-24
100103,2026-03-14,test,paid_search,android,Moscow,35-44
100104,2026-01-01,test,social_ads,web,Moscow,35-44
100105,2026-03-13,test,social_ads,ios,Other Russia,18-24
100106,2026-03-12,test,social_ads,ios,Moscow,25-34
100107,2026-03-12,control,organic,ios,Other Russia,25-34
100108,2026-03-01,test,paid_search,web,Moscow,18-24
100109,2026-02-12,control,referral,ios,Saint Petersburg,35-44
100110,2026-03-05,test,paid_search,android,Moscow,25-34
100111,2026-01-25,control,email,web,Moscow,35-44
100112,2026-03-12,control,paid_search,web,Saint Petersburg,35-44
100113,2026-02-20,test,paid_search,android,Moscow,25-34
100114,2026-02-11,test,paid_search,android,Saint Petersburg,35-44
100115,2026-02-15,control,paid_search,web,Saint Petersburg,35-44
100116,2026-02-21,test,referral,ios,Moscow,25-34
100117,2026-01-04,control,organic,web,Saint Petersburg,18-24
100118,2026-01-13,test,paid_search,android,Moscow,35-44
100119,2026-01-23,control,social_ads,ios,Moscow,25-34
100120,2026-01-11,control,referral,web,Other Russia,35-44
100121,2026-02-09,control,social_ads,web,Moscow,25-34
100122,2026-03-02,control,email,ios,Moscow,35-44
100123,2026-02-28,control,referral,web,Saint Petersburg,35-44
100124,2026-02-12,control,paid_search,android,Saint Petersburg,25-34
100125,2026-03-18,control,referral,ios,Other Russia,25-34
100126,2026-02-20,control,email,ios,Other Russia,25-34
100127,2026-01-08,test,organic,android,Other Russia,35-44
100128,2026-03-10,control,social_ads,web,Saint Petersburg,18-24
100129,2026-02-21,test,organic,web,Moscow,35-44
100130,2026-02-27,test,social_ads,ios,Moscow,18-24
100131,2026-02-20,control,organic,android,Other Russia,35-44
100132,2026-02-19,test,social_ads,web,Moscow,18-24
100133,2026-01-09,control,paid_search,android,Moscow,35-44
100134,2026-02-20,control,paid_search,ios,Saint Petersburg,25-34
100135,2026-03-13,test,organic,ios,Other Russia,25-34
100136,2026-01-28,test,social_ads,ios,Saint Petersburg,45+
100137,2026-02-24,test,paid_search,web,Moscow,18-24
100138,2026-01-03,control,social_ads,web,Other Russia,18-24
100139,2026-02-01,test,organic,android,Moscow,18-24
100140,2026-02-09,control,organic,web,Other Russia,25-34
100141,2026-03-30,control,paid_search,ios,Moscow,35-44
100142,2026-01-20,control,email,android,Other Russia,18-24
100143,2026-01-25,test,organic,web,Other Russia,35-44
100144,2026-02-06,control,social_ads,ios,Moscow,25-34
100145,2026-03-31,test,organic,web,Other Russia,45+
100146,2026-03-18,test,social_ads,web,Moscow,25-34
100147,2026-01-04,test,organic,android,Moscow,45+
100148,2026-01-22,test,paid_search,android,Moscow,25-34
100149,2026-03-15,test,paid_search,web,Saint Petersburg,45+
100150,2026-01-06,control,organic,android,Moscow,25-34
100151,2026-03-19,control,paid_search,web,Saint Petersburg,25-34
100152,2026-01-26,test,paid_search,android,Other Russia,35-44
100153,2026-03-24,control,paid_search,android,Other Russia,25-34
100154,2026-01-27,control,email,web,Moscow,25-34
100155,2026-02-09,control,paid_search,ios,Saint Petersburg,25-34
100156,2026-03-01,control,email,android,Moscow,35-44
100157,2026-01-12,control,paid_search,web,Moscow,35-44
100158,2026-02-20,control,organic,web,Other Russia,18-24
100159,2026-02-15,test,organic,ios,Other Russia,35-44
100160,2026-03-12,control,paid_search,web,Moscow,25-34
100161,2026-03-31,test,organic,web,Moscow,18-24
100162,2026-03-01,test,referral,web,Moscow,18-24
100163,2026-02-06,control,social_ads,android,Moscow,18-24
100164,2026-02-06,test,paid_search,web,Moscow,25-34
100165,2026-02-07,test,paid_search,ios,Moscow,18-24
100166,2026-03-15,test,paid_search,web,Moscow,18-24
100167,2026-01-29,control,social_ads,web,Moscow,25-34
100168,2026-01-16,control,organic,ios,Other Russia,35-44
100169,2026-01-31,control,organic,web,Other Russia,25-34
100170,2026-01-03,test,organic,ios,Saint Petersburg,25-34
100171,2026-01-10,test,organic,web,Moscow,35-44
100172,2026-01-09,test,social_ads,ios,Other Russia,18-24
100173,2026-03-11,test,organic,web,Moscow,35-44
100174,2026-03-07,test,organic,android,Other Russia,18-24
100175,2026-03-04,test,email,web,Moscow,18-24
100176,2026-02-11,control,email,android,Other Russia,25-34
100177,2026-03-06,test,paid_search,web,Moscow,18-24
100178,2026-01-15,control,paid_search,web,Other Russia,18-24
100179,2026-03-23,control,referral,ios,Moscow,35-44
100180,2026-02-15,test,organic,web,Other Russia,25-34
100181,2026-03-26,test,paid_search,ios,Saint Petersburg,18-24
100182,2026-01-14,control,organic,android,Moscow,25-34
100183,2026-02-14,control,paid_search,android,Other Russia,35-44
100184,2026-03-04,control,email,ios,Moscow,35-44
100185,2026-02-14,control,social_ads,android,Saint Petersburg,18-24
100186,2026-02-10,control,email,ios,Moscow,35-44
100187,2026-01-15,test,social_ads,web,Other Russia,35-44
100188,2026-02-04,test,social_ads,android,Other Russia,25-34
100189,2026-01-22,control,social_ads,web,Saint Petersburg,18-24
100190,2026-01-28,control,social_ads,web,Other Russia,25-34
100191,2026-03-03,control,paid_search,web,Other Russia,18-24
100192,2026-02-26,control,organic,web,Other Russia,35-44
100193,2026-02-24,test,paid_search,web,Moscow,35-44
100194,2026-02-02,test,organic,web,Saint Petersburg,18-24
100195,2026-03-28,test,paid_search,ios,Moscow,18-24
100196,2026-01-08,control,organic,android,Saint Petersburg,35-44
100197,2026-01-31,test,paid_search,android,Moscow,25-34
100198,2026-01-11,control,organic,web,Other Russia,25-34
100199,2026-01-31,control,organic,web,Saint Petersburg,45+
100200,2026-03-28,test,paid_search,ios,Other Russia,18-24
